category,best_cp,cv_mape
Continental Beverages,0.1,0.06396988940640962
Continental Pizza,0.1,0.04865664688064692
Continental Seafood,0.1,0.07209153146638811
Indian Beverages,0.1,0.043003614796590026
Indian Biryani,0.1,0.02748042723501284
Indian Desert,0.1,0.024893660623280717
Indian Rice Bowl,0.1,0.032194646452758595
Italian Beverages,0.5,0.01677115340563544
Italian Pasta,0.1,0.033715825571975236
Italian Sandwich,0.1,0.044395278342982694
Thai Beverages,0.1,0.014804330630004242
Thai Extras,0.1,0.01841105484550954
Thai Other Snacks,2.0,0.0352464598386512
Thai Soup,0.1,0.026288341791481103
Thai Starters,0.5,0.029330042847687605
Italian Salad,0.5,0.031815403960752046
Continental Fish,0.5,N/A
